RetainedRef	DuplicateRef
Tbb1125VSG-5461	Tbb1125VSG-5461.1
Tbb1125VSG-2712	Tb427VSG-2079
Tbb1125VSG-34	Tb427VSG-365
Tbb1125VSG-1025.1	Tb427VSG-694
Tbb1125VSG-2004	Tb427VSG-2003
TRINITY_DN91_c0_g1_i14	WT_L1_trinity.338
Tbb1125VSG-4325	Tbb1125VSG-4325.1
Tbb1125VSG-4325	Tbb1125VSG-4325.2
Tbb1125VSG-4325	Tbb1125VSG-4325.4
Tbb1125VSG-4325	Tbb1125VSG-4326.1
Tbb1125VSG-5550	Tb427VSG-1826
Tbb1125VSG-117	Tbb1125VSG-117.1
Tbb1125VSG-117	Tbb1125VSG-117.2
Tbb1125VSG-1100	Tb427VSG-1093
Tbb1125VSG-4271	Tb427VSG-1450
Tbb1125VSG-1066	Tbb1125VSG-1066.1
Tbb1125VSG-439	Tb427VSG-674
Tbb1125VSG-1461	Tb427VSG-1639
Tbb1125VSG-2957	Tb427VSG-3653
Tbb1125VSG-1174.1	Tbb1125VSG-1174.2
Tbb1125VSG-1397	Tbb1125VSG-1397.1
Tbb1125VSG-4332	Tbb1125VSG-4332.1
Tbb1125VSG-259.1	Tbb1125VSG-5518.1
Tbb1125VSG-4842	Tb427VSG-1260
Tbb1125VSG-4818	Tb427VSG-3048
Tbb1125VSG-4001	Tb427VSG-665
Tbb1125VSG-4029	Tb427VSG-311
Tbb1125VSG-4209	Tb427VSG-496
Tbb1125VSG-5220	Tb427VSG-2103
Tbb1125VSG-2560	Tbb1125VSG-2560.1
Tbb1125VSG-4183	Tbb1125VSG-4183.1
Tbb1125VSG-4997	Tb427VSG-1403
Tbb1125VSG-2555	Tbb1125VSG-2555.2
Tbb1125VSG-5114	Tbb1125VSG-5114.1
Tbb1125VSG-5282	Tbb1125VSG-5282.1
Tbb1125VSG-1296	Tb427VSG-1351
Tbb1125VSG-3040	Tb427VSG-3787
Tbb1125VSG-142	Tb427VSG-358
Tbb1125VSG-5433	Tbb1125VSG-5433.1
Tbb1125VSG-1127	Tb427VSG-508
Tbb1125VSG-305	Tb427VSG-536
Tbb1125VSG-2850.1	Tbb1125VSG-2850.3
Tbb1125VSG-409	Tb427VSG-1151
Tbb1125VSG-1010	Tb427VSG-1006
Tbb1125VSG-5239	Tb427VSG-1619
Tbb1125VSG-1076	Tb427VSG-1061
Tbb1125VSG-338	Tb427VSG-577
Tbb1125VSG-60	Tb427VSG-629
Tbb1125VSG-4924	Tbb1125VSG-4924.1
Tbb1125VSG-158	Tb427VSG-372
TRINITY_DN105_c0_g2_i1	WT_L1_trinity.5
Tbb1125VSG-3019	Tb427VSG-3743
Tbb1125VSG-3077	Tb427VSG-3018
Tbb1125VSG-4163	Tb427VSG-464
Tbb1125VSG-4892	Tbb1125VSG-4892.1
Tbb1125VSG-1688	Tb427VSG-1200
Tbb1125VSG-1013	Tb427VSG-403
Tbb1125VSG-5695	Tb427VSG-1981
Tbb1125VSG-3015	Tb427VSG-3738
Tbb1125VSG-1527	Tbb1125VSG-1527.1
Tbb1125VSG-2850	Tbb1125VSG-2850.2
Tbb1125VSG-4715	Tb427VSG-1150
Tbb1125VSG-1515	Tbb1125VSG-1515.1
Tbb1125VSG-1372	Tbb1125VSG-1372.1
Tbb1125VSG-31	Tb427VSG-672
Tbb1125VSG-2953	Tbb1125VSG-2953.1
Tbb1125VSG-1737	Tb427VSG-537
Tbb1125VSG-26	Tb427VSG-637
Tbb1125VSG-1270	Tb427VSG-1357
Tbb1125VSG-4834	Tb427VSG-1959
Tbb1125VSG-2661	Tb427VSG-1140
Tbb1125VSG-196	Tbb1125VSG-196.1
Tbb1125VSG-3007	Tbb1125VSG-3007.1
Tbb1125VSG-5778	Tbb1125VSG-5778.1
Tbb1125VSG-4215	Tb427VSG-500
Tbb1125VSG-4912	Tb427VSG-1337
Tbb1125VSG-5048	Tb427VSG-3140
Tbb1125VSG-1309	Tbb1125VSG-1309.1
Tbb1125VSG-4210	Tb427VSG-495
Tbb1125VSG-1537	Tb427VSG-1794
Tbb1125VSG-1472	Tb427VSG-1317
Tbb1125VSG-4064	Tb427VSG-353
Tbb1125VSG-4759	Tbb1125VSG-4759.1
Tbb1125VSG-4201.1	Tbb1125VSG-4679.1
Tbb1125VSG-4147	Tbb1125VSG-4147.1
Tbb1125VSG-2772	Tb427VSG-1529
Tbb1125VSG-4936	Tbb1125VSG-4936.1
Tbb1125VSG-4936	Tbb1125VSG-4939.1
Tbb1125VSG-28	Tb427VSG-826
Tbb1125VSG-2029	Tbb1125VSG-2029.1
Tbb1125VSG-4018	Tb427VSG-307
Tbb1125VSG-51	Tb427VSG-649
Tbb1125VSG-237	Tb427VSG-471
Tbb1125VSG-4237	Tb427VSG-1354
Tbb1125VSG-1612	Tb427VSG-1894
Tbb1125VSG-1183	Tb427VSG-1191
