/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_20_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_20_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_24_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_24_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_26_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_26_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_28_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_28_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_31_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_31_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_35_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_35_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_38_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_38_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_40_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_40_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_42_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_42_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_52_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_52_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_61_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_61_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d11_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d11_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d45_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d45_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d70_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_d70_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_13_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_13_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_14_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_14_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_20_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_20_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_24_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_24_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_26_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_26_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_28_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_28_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_31_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_31_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_33_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_33_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_35_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_35_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_42_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_42_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_52_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_52_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_61_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_61_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d17_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d17_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d45_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d45_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d68_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/914_d68_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_10_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_10_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_17_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_17_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_18_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_18_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_19_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_19_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_20_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_20_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_24_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_24_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_26_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_26_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_28_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_28_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_31_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_31_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_33_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_33_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_35_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_35_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_38_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_38_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_40_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_40_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_52_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_52_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_54_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_54_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d11_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d11_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d45_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d45_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d66_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/924_d66_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_10_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_10_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_13_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_13_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_20_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_20_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_21_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_21_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_24_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_24_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_26_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_26_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_31_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_31_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_52_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_52_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d33_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d33_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d45_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d45_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d66_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/929_d66_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_1_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_2_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_3_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_7_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_8_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_9_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/B1_9_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_1_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_3_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_4REP_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_4REP_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_5REP_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_5REP_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_7_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_9_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R1_9_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_1_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_2REP_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_2REP_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_2_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_3REP_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_3REP_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_3_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_7_trimmed_2.fq.gz
